SITE,BO95_1,BO95_2,BO95_3,BO95_4,BO95_5,BO95_6,BO95_7,BO95_8,BO95_9,BO95_10,BO95_11,BO95_12,BO96_1,BO96_2,BO96_3,BO96_4,BO96_5,BO96_6,BO96_7,BO96_8,BO96_9,BO96_10,BO96_11,BO96_12,BO97_1,BO97_2,BO97_3,BO97_4,BO97_5,BO97_6,BO97_7,BO97_8,BO97_9,BO97_10,BO97_11,BO97_12,BO98_1,BO98_2,BO98_3,BO98_4,BO98_5,BO98_6,BO98_7,BO98_8,BO98_9,BO98_10,BO98_11,BO98_12,BO99_1,BO99_2,BO99_3,BO99_4,BO99_5,BO99_6,BO99_7,BO99_8,BO99_9,BO99_10,BO99_11,BO99_12,BO00_1,BO00_2,BO00_3,BO00_4,BO00_5,BO00_6,BO00_7,BO00_8,BO00_9,BO00_10,BO00_11,BO00_12,BO01_1,BO01_2,BO01_3,BO01_4,BO01_5,BO01_6,BO01_7,BO01_8,BO01_9,BO01_10,BO01_11,BO01_12,BO02_1,BO02_2,BO02_3,BO02_4,BO02_5,BO02_6,BO02_7,BO02_8,BO02_9,BO02_10,BO02_11,BO02_12,BO03_1,BO03_2,BO03_3,BO03_4,BO03_5,BO03_6,BO03_7,BO03_8,BO03_9,BO03_10,BO03_11,BO03_12,BO04_1,BO04_2,BO04_3,BO04_4,BO04_5,BO04_6,BO04_7,BO04_8,BO04_9,BO04_10,BO04_11,BO04_12,BO05_1,BO05_2,BO05_3,BO05_4,BO05_5,BO05_6,BO05_7,BO05_8,BO05_9,BO05_10,BO05_11,BO05_12,BO06_1,BO06_2,BO06_3,BO06_4,BO06_5,BO06_6,BO06_7,BO06_8,BO06_9,BO06_10,BO06_11,BO06_12,BO07_1,BO07_2,BO07_3,BO07_4,BO07_5,BO07_6,BO07_7,BO07_8,BO07_9,BO07_10,BO07_11,BO07_12,BO08_1,BO08_2,BO08_3,BO08_4,BO08_5,BO08_6,BO08_7,BO08_8,BO08_9,BO08_10,BO08_11,BO08_12,BO09_1,BO09_2,BO09_3,BO09_4,BO09_5,BO09_6,BO09_7,BO09_8,BO09_9,BO09_10,BO09_11,BO09_12,BO10_1,BO10_2,BO10_3,BO10_4,BO10_5,BO10_6,BO10_7,BO10_8,BO10_9,BO10_10,BO10_11,BO10_12,BO11_1,BO11_2,BO11_3,BO11_4,BO11_5,BO11_6,BO11_7,BO11_8,BO11_9,BO11_10,BO11_11,BO11_12,BO12_1,BO12_2,BO12_3,BO12_4,BO12_5,BO12_6,BO12_7,BO12_8,BO12_9,BO12_10,BO12_11,BO12_12,BO13_1,BO13_2,BO13_3,BO13_4,BO13_5,BO13_6,BO13_7,BO13_8,BO13_9,BO13_10,BO13_11,BO13_12,BO14_1,BO14_2,BO14_3,BO14_4,BO14_5,BO14_6,BO14_7,BO14_8,BO14_9,BO14_10,BO14_11,BO14_12,BO15_1,BO15_2,BO15_3,BO16_1,BO16_2,BO16_3,OV15_1,OV15_2,OV15_3,OV16_1,OV16_2,OV16_3,PHAB_95,PHAB_96,PHAB_97,PHAB_98,PHAB_99,PHAB_00,PHAB_01,PHAB_02,PHAB_03,PHAB_04,PHAB_05,PHAB_06,PHAB_07,PHAB_08,PHAB_09,PHAB_10,PHAB_11,PHAB_12,PHAB_13,PHAB_14,PHAB_15
27,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,NA,1,NA,0,NA,1,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,0,0,1,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,0,NA,1,5,5,4,NA,NA,NA,0.877,0.894,0.894,0,0,0,0.327,0.329,0.33,0.332,0.331,0.352,0.356,0.36,0.363,0.369,0.37,0.366,0.364,0.366,0.357,0.351,0.343,0.335,0.335,0.334,0.334
28,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,1,0,0,NA,NA,0,NA,1,NA,NA,0,0,0,NA,NA,0,1,0,1,NA,NA,1,NA,NA,NA,1,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,1,1,6,NA,NA,NA,0.232,0.487,0.982,0,0,0,0.128,0.126,0.124,0.123,0.124,0.123,0.12,0.118,0.12,0.12,0.117,0.115,0.117,0.118,0.117,0.114,0.113,0.115,0.115,0.114,0.114
29,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,1,NA,NA,1,1,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6,NA,NA,NA,0.707,0.768,0.966,0,0,0,0.348,0.35,0.35,0.354,0.36,0.362,0.363,0.369,0.374,0.378,0.379,0.379,0.384,0.386,0.388,0.383,0.37,0.351,0.35,0.35,0.349
30,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,1,1,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,4,2,NA,NA,NA,0,1,1,0,0,0,0.131,0.129,0.129,0.133,0.133,0.129,0.126,0.126,0.122,0.12,0.121,0.12,0.119,0.114,0.115,0.116,0.115,0.117,0.117,0.113,0.113
31,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,0,NA,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,0,NA,1,0,0,0,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0.731,0.005,1,0,0,0,0.38,0.381,0.381,0.379,0.381,0.38,0.381,0.383,0.385,0.386,0.387,0.389,0.386,0.386,0.383,0.375,0.372,0.368,0.368,0.368,0.368
32,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,1,NA,0,NA,1,1,NA,1,NA,NA,NA,NA,1,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,1,NA,NA,1,8,NA,NA,NA,0.061,0.698,0.785,0,0,0,0.209,0.212,0.214,0.214,0.212,0.211,0.212,0.214,0.22,0.222,0.223,0.223,0.22,0.219,0.22,0.213,0.206,0.202,0.202,0.202,0.202
33,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,2,0,0,0,0,0.4,0.4,0.4,0.4,0.03,0.03,0.029,0.03,0.033,0.028,0.028,0.028,0.027,0.026,0.024,0.025,0.025,0.023,0.023,0.022,0.019,0.022,0.019,0.019,0.018
34,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,1,1,NA,1,1,0.452,1,0.452,0,0.248,0.752,0.258,0.262,0.262,0.258,0.262,0.258,0.259,0.262,0.261,0.263,0.264,0.26,0.259,0.252,0.238,0.231,0.23,0.227,0.227,0.227,0.227
35,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,1,NA,0,1,0,NA,0,NA,1,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,3,2,5,0,0,2,0.941,0.941,0.941,0.318,0.293,0.579,0.229,0.235,0.242,0.242,0.253,0.242,0.242,0.238,0.229,0.216,0.186,0.188,0.181,0.158,0.159,0.15,0.146,0.134,0.133,0.127,0.125
36,NA,NA,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,1,NA,0,NA,NA,0,NA,0,NA,0,0,NA,0,0,0,1,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,1,NA,NA,NA,0,NA,1,NA,NA,1,NA,NA,1,NA,0,NA,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,0,0,NA,NA,NA,0,1,1,0,0,0,0.362,0.363,0.363,0.364,0.366,0.367,0.365,0.367,0.37,0.375,0.375,0.374,0.368,0.362,0.359,0.356,0.352,0.349,0.349,0.349,0.348
37,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,0,NA,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,NA,1,NA,0,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,1,0,0,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,2,6,3,NA,4,1,0.754,0.754,0.754,0,0.499,1,0.29,0.295,0.302,0.302,0.31,0.316,0.327,0.325,0.327,0.326,0.321,0.305,0.292,0.279,0.271,0.272,0.26,0.254,0.237,0.235,0.232
38,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,1,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,2,2,2,2,0,0.895,0.857,0.895,0.933,0.254,0.04,0.04,0.04,0.04,0.046,0.044,0.049,0.043,0.047,0.042,0.044,0.037,0.038,0.037,0.036,0.042,0.038,0.027,0.027,0.027,0.026
39,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1,0,1,NA,NA,NA,0,NA,0,NA,0,NA,0,2,NA,0,0.976,0,0.196,0.78,0,0.682,0.684,0.684,0.685,0.68,0.68,0.68,0.68,0.683,0.686,0.686,0.697,0.703,0.708,0.7,0.692,0.684,0.669,0.669,0.669,0.669
40,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,3,2,1,0,0,0.239,0.592,0.769,0.239,0.78,0.03,0.037,0.047,0.038,0.035,0.034,0.032,0.04,0.036,0.035,0.04,0.026,0.022,0.021,0.019,0.02,0.019,0.019,0.019,0.018,0.016
41,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,1,NA,1,1,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,1,NA,1,NA,0,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,4,1,3,4,5,3,0.292,0.946,0.351,0.944,0.944,0.769,0.143,0.142,0.145,0.147,0.143,0.141,0.139,0.139,0.143,0.143,0.134,0.13,0.127,0.126,0.127,0.124,0.122,0.121,0.116,0.116,0.116
42,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,0,1,NA,NA,0,NA,1,NA,1,0,NA,NA,1,1,0,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,1,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,1,NA,0,0,1,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,NA,NA,4,1,0,4,5,6,0.329,0.996,0.237,1,1,0.946,0.032,0.034,0.035,0.036,0.039,0.037,0.039,0.037,0.034,0.032,0.031,0.032,0.031,0.025,0.023,0.03,0.038,0.03,0.029,0.029,0.029
